seed,company,final_value,profit,return_pct,max_drawdown,annualized_return,total_trades,win_rate
1000,good,108171.14690852817,8171.1469085281715,8.171146908528172,5.223116117747906,4.038040273699553,21,55.00000000000001
11000,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1001,good,101647.63277021374,1647.632770213735,1.647632770213735,6.0010669025569365,0.8270413615985285,16,46.666666666666664
11001,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1002,good,92392.83673440118,-7607.163265598821,-7.607163265598821,7.969133103705257,-3.909223269978547,17,31.25
11002,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1003,good,99097.18800398294,-902.8119960170588,-0.9028119960170589,3.1803985467072677,-0.45604063019785857,13,41.66666666666667
11003,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1004,good,106544.47767059068,6544.477670590684,6.544477670590684,3.483276395913076,3.2465613017199755,19,55.55555555555556
11004,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1005,good,106256.96186125577,6256.961861255768,6.256961861255768,0.821723494455744,3.106044628354131,20,47.368421052631575
11005,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1006,good,101928.28813541066,1928.2881354106648,1.928288135410665,0.9501012264501161,0.9672538080032265,16,46.666666666666664
11006,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1007,good,110235.8323420116,10235.832342011607,10.235832342011607,2.0276650201404394,5.034188389808866,14,69.23076923076923
11007,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1008,good,96776.10398019734,-3223.8960198026616,-3.223896019802661,5.26936043290654,-1.6380477935130902,21,40.0
11008,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
1009,good,103789.12407032923,3789.124070329228,3.789124070329228,0.3736082912192364,1.8921041280453927,17,50.0
11009,bad,100000.0,0.0,0.0,0.0,0.0,0,0.0
